"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sim.5.icert",0.896,0.732,0.65,0.166,0.056,0.018,0.082,0.349,0.156,NA,0.15,0.155,0.482,0.132,0.001,0.297,0.09,0.623,0.617,0.009,0.916,0.105,0.235,0.327,0.735,0.641,0.677,0.006,0.087,0.222,0.448,0.613,0.052,0.197,0.356,0.399,0.637,0.001,0.238,0.534,0.336
"sim.5.binp",0.001,0,0,0.019,0.173,0.441,0.259,0.008,0.1,0.001,0.173,0.173,0.003,0.088,0.623,0.02,0.259,0.004,0.018,1,0,0.259,0.019,0,0,0.556,NA,1,0.556,0.004,0,0.018,0.407,0.111,0.045,0.002,0,0.802,0.1,0.333,0.194
"sim.5.dstat",0.089,0.291,0.133,0.509,0.198,0.046,0.252,0.108,0.084,NA,0.461,0.453,0.169,0.404,0.062,0.327,0.101,0.173,0.862,0.03,0.316,1,0.161,0.179,0.604,0.625,0.333,0.243,1,0.349,0.211,0.012,0.876,0.429,0.59,0.252,1,0.024,1,1,0.383
"sim.5.kcstat",438.273,45.1,57.231,3.637,3.302,5.24,3.496,21.456,11.874,NA,3.577,3.685,23.804,3.525,1.584,7.581,6.844,40.61,13.294,5.419,195.74,2.212,10.002,13.042,27.866,17.5,31,1.489,2.046,5.536,17.71,465.706,1.777,4.474,6.506,12.974,13.472,2.847,3.529,9.105,39.591
"ID.6",44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,63.5
"sCF.sim.6",93.42,87.36,81.25,47.77,24.88,47.92,51.16,43.55,65.85,69,64.31,37.75,71.45,76.86,44.23,86.67,70.37,63.07,69.67,66.05,87.92,89.5,40.45,82.74,90.21,51.55,59.58,91.08,100,53.93,82.52,89.61,43.83,75.16,97.42,77.82,87.25,0,61.6,81,67.644
"sDF1.sim.6",3.16,7.64,13.86,13.11,27.57,17.63,31.16,32.06,22.63,0,11.45,30.29,22.63,3.73,33.05,6.09,18.18,21.71,0,23.35,9.64,0,32.19,8.99,3.21,37.98,5.92,0,0,17.06,8.01,3.69,10.5,3.28,2.58,6.32,12.75,22.17,8.85,3,13.386
"sDF2.sim.6",3.42,5,4.89,39.12,47.55,34.45,17.68,22.4,11.52,0,24.24,31.96,5.92,19.41,22.72,7.25,11.45,15.22,29.33,10.6,2.44,10.5,27.35,8.27,6.58,10.47,21.5,8.92,0,29.01,9.48,6.7,22.67,21.56,0,15.86,0,63.83,29.55,0,16.471
"sN.6",4.66,12.02,18.28,17.38,7.47,9.8,8.45,4.42,5.24,0.97,3.83,4.9,13.44,7.97,7.87,14.31,5.53,3.17,2.12,3.9,10.18,2.01,8.89,20.1,14.88,4.43,2.6,2.27,3.79,6.97,18.3,8.8,1.35,5.06,2.82,11.74,10.35,1.61,4.31,1.07,7.431
"br.length.6",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.6.dnet",0.569,0.463,0.328,0.145,0.314,0.205,0.221,0.267,0.24,NA,0.222,0.36,0.2,0.229,0.265,0.479,0.297,0.279,NA,0.225,0.402,NA,0.322,0.449,0.481,0.121,0.173,NA,NA,0.228,0.436,0.48,0.185,0.196,NA,0.301,NA,NA,0.153,NA,0.298
